"Reference","Value","Footprint","Qty","DNP"
"C1,C4,C11,C13","47u","Capacitor_SMD:C_1206_3216Metric","4",""
"C2,C3,C5,C6,C7,C10,C12","100n","Capacitor_SMD:C_1206_3216Metric","7",""
"C8,C9","1u","Capacitor_SMD:C_1206_3216Metric","2",""
"C14,C15","22p","Capacitor_SMD:C_1206_3216Metric","2",""
"D1,D5","LED","LED_SMD:LED_1206_3216Metric","2",""
"D2","D","Diode_SMD:D_1206_3216Metric","1",""
"D3,D4","NUP2105L","Package_TO_SOT_SMD:SOT-23","2",""
"FL1","Filter_CAN_Choke_LL_1234","LMWB_footprints:WE-CNSW_1812","1",""
"J1,J2","Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2",""
"J3","USB_B_Micro","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","1",""
"J5","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1",""
"J6,J7,J8,J9","Conn_01x02","-- mixed values --","4",""
"R1,R2","10k","Resistor_SMD:R_1206_3216Metric","2",""
"R3,R4","220","Resistor_SMD:R_1206_3216Metric","2",""
"R6","1k5","Resistor_SMD:R_1206_3216Metric","1",""
"R7,R8","20","Resistor_SMD:R_1206_3216Metric","2",""
"R9,R10","120","Resistor_SMD:R_1206_3216Metric","2",""
"SW1,SW2","SW_MEC_5E","LMWB_footprints:430181038816","2",""
"U1","STM32F042K6Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm","1",""
"U2","AT25xxx","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U4","TCAN334","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U5","MAX481E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"Y1","Crystal","Crystal:Crystal_SMD_HC49-SD","1",""
